import time: self [us] | cumulative | imported package
import time:       118 |        118 |         distutils.debug
import time:       324 |        324 |         distutils.errors
import time:      1072 |       1072 |               gettext
import time:       194 |       1266 |             getopt
import time:       531 |       1796 |           distutils.fancy_getopt
import time:       123 |        123 |             distutils.dep_util
import time:       137 |        137 |               distutils.log
import time:       153 |        290 |             distutils.spawn
import time:       111 |        111 |             distutils.py35compat
import time:       328 |        850 |           distutils.util
import time:       640 |       3285 |         distutils.dist
import time:       158 |        158 |           distutils.dir_util
import time:       142 |        142 |           distutils.file_util
import time:       912 |        912 |             zipfile
import time:       195 |       1106 |           distutils.archive_util
import time:       284 |       1688 |         distutils.cmd
import time:       196 |        196 |         distutils.config
import time:       160 |        160 |         distutils.extension
import time:       853 |       6621 |       _distutils_hack.override
import time:       132 |        132 |       setuptools._deprecation_warning
import time:       130 |        130 |                 xml
import time:       185 |        315 |               xml.parsers
import time:       146 |        146 |               pyexpat
import time:       182 |        641 |             xml.parsers.expat
import time:      1180 |       1820 |           plistlib
import time:        85 |         85 |             nt
import time:        73 |         73 |             nt
import time:        69 |         69 |             nt
import time:        69 |         69 |             nt
import time:       316 |        610 |           ntpath
import time:       212 |        212 |               pkg_resources.extern
import time:       118 |        118 |                 pkg_resources._vendor
import time:       185 |        303 |               pkg_resources._vendor.jaraco
import time:       133 |        647 |             pkg_resources.extern.jaraco
import time:       782 |        782 |               pathlib
import time:       330 |       1111 |             importlib.resources
import time:       302 |        302 |                       pkg_resources._vendor.zipp
import time:       219 |        521 |                     pkg_resources._vendor.importlib_resources._compat
import time:       254 |        774 |                   pkg_resources._vendor.importlib_resources.abc
import time:       265 |       1039 |                 pkg_resources._vendor.importlib_resources._common
import time:       338 |        338 |                 pkg_resources._vendor.importlib_resources._legacy
import time:       176 |       1552 |               pkg_resources._vendor.importlib_resources
import time:        86 |       1637 |             pkg_resources.extern.importlib_resources
import time:       295 |        295 |                     pkg_resources._vendor.more_itertools.recipes
import time:      1624 |       1919 |                   pkg_resources._vendor.more_itertools.more
import time:       169 |       2087 |                 pkg_resources._vendor.more_itertools
import time:        77 |       2164 |               pkg_resources.extern.more_itertools
import time:       318 |       2482 |             pkg_resources.extern.jaraco.functools
import time:       351 |        351 |             pkg_resources.extern.jaraco.context
import time:       729 |       6954 |           pkg_resources.extern.jaraco.text
import time:       220 |        220 |             pkg_resources._vendor.appdirs
import time:        94 |        313 |           pkg_resources.extern.appdirs
import time:       168 |        168 |               pkg_resources._vendor.packaging.__about__
import time:       166 |        334 |             pkg_resources._vendor.packaging
import time:        69 |        403 |           pkg_resources.extern.packaging
import time:       150 |        150 |             pkg_resources.extern.packaging._structures
import time:      4039 |       4189 |           pkg_resources.extern.packaging.version
import time:       505 |        505 |                 pkg_resources._vendor.packaging._manylinux
import time:       298 |        298 |                 pkg_resources._vendor.packaging._musllinux
import time:       535 |       1338 |               pkg_resources.extern.packaging.tags
import time:       492 |       1829 |             pkg_resources.extern.packaging.utils
import time:      5479 |       7307 |           pkg_resources.extern.packaging.specifiers
import time:       358 |        358 |                 pkg_resources._vendor.pyparsing.util
import time:       544 |        544 |                   pkg_resources._vendor.pyparsing.unicode
import time:      1998 |       2542 |                 pkg_resources._vendor.pyparsing.exceptions
import time:       202 |        202 |                 pkg_resources._vendor.pyparsing.actions
import time:       405 |        405 |                   pkg_resources._vendor.pyparsing.results
import time:      8350 |       8754 |                 pkg_resources._vendor.pyparsing.core
import time:       862 |        862 |                       html.entities
import time:       532 |       1393 |                     html
import time:        30 |       1422 |                   html.entities
import time:      3129 |       4551 |                 pkg_resources._vendor.pyparsing.helpers
import time:       346 |        346 |                 pkg_resources._vendor.pyparsing.testing
import time:      4621 |       4621 |                 pkg_resources._vendor.pyparsing.common
import time:       671 |      22042 |               pkg_resources._vendor.pyparsing
import time:        84 |      22125 |             pkg_resources.extern.pyparsing
import time:      1685 |       1685 |             pkg_resources.extern.packaging.markers
import time:      8192 |      32002 |           pkg_resources.extern.packaging.requirements
import time:     24086 |      77681 |         pkg_resources
import time:       543 |      78224 |       setuptools.version
import time:       217 |        217 |           distutils.filelist
import time:       187 |        403 |         setuptools.monkey
import time:       259 |        661 |       setuptools.extension
import time:       369 |        369 |         numbers
import time:       148 |        148 |         distutils.command
import time:       383 |        383 |         glob
import time:       172 |        172 |         setuptools.extern
import time:       112 |        112 |             setuptools._vendor
import time:       139 |        139 |             setuptools._vendor.packaging.__about__
import time:       198 |        448 |           setuptools._vendor.packaging
import time:       117 |        565 |         setuptools.extern.packaging
import time:      1173 |       1173 |           setuptools._vendor.ordered_set
import time:        92 |       1265 |         setuptools.extern.ordered_set
import time:       202 |        202 |               setuptools._vendor.more_itertools.recipes
import time:       763 |        964 |             setuptools._vendor.more_itertools.more
import time:       200 |       1164 |           setuptools._vendor.more_itertools
import time:        93 |       1256 |         setuptools.extern.more_itertools
import time:       319 |        319 |                   setuptools._vendor.pyparsing.util
