import time: self [us] | cumulative | imported package
import time:       173 |        173 |                       matplotlib.tri.tripcolor
import time:       142 |        142 |                       matplotlib.tri.triplot
import time:       447 |       2810 |                     matplotlib.tri
import time:     22328 |      22328 |                       matplotlib.axis
import time:      8898 |      31226 |                     matplotlib.axes._base
import time:      6816 |       6816 |                     matplotlib.axes._secondary_axes
import time:     27548 |     131504 |                   matplotlib.axes._axes
import time:       239 |        239 |                     matplotlib.tight_layout
import time:       747 |        986 |                   matplotlib.gridspec
import time:      7207 |     139695 |                 matplotlib.axes._subplots
import time:       173 |     139868 |               matplotlib.axes
import time:     32196 |      32196 |               matplotlib.projections.geo
import time:     21597 |      21597 |               matplotlib.projections.polar
import time:       156 |        156 |                     mpl_toolkits.mplot3d.proj3d
import time:     33926 |      34082 |                   mpl_toolkits.mplot3d.art3d
import time:     15983 |      15983 |                   mpl_toolkits.mplot3d.axis3d
import time:     15059 |      65124 |                 mpl_toolkits.mplot3d.axes3d
import time:       452 |      65575 |               mpl_toolkits.mplot3d
import time:       345 |     259579 |             matplotlib.projections
import time:     12570 |     272283 |           matplotlib.figure
import time:      2914 |     570966 |         matplotlib.pyplot
import time:       209 |        209 |           mediapipe.framework
import time:       229 |        437 |         mediapipe.framework.formats
import time:       120 |        120 |           google.protobuf.reflection
import time:       109 |        109 |             mediapipe.framework.formats.annotation
import time:       467 |        467 |               google.protobuf.internal.well_known_types
import time:       380 |        846 |             mediapipe.framework.formats.annotation.rasterization_pb2
import time:       471 |       1425 |           mediapipe.framework.formats.location_data_pb2
import time:       426 |       1970 |         mediapipe.framework.formats.detection_pb2
import time:       373 |        373 |         mediapipe.framework.formats.landmark_pb2
import time:      1171 |     575829 |       mediapipe.python.solutions.drawing_utils
import time:       114 |        114 |           mediapipe.calculators
import time:       196 |        309 |         mediapipe.calculators.core
import time:       254 |        254 |             mediapipe.framework.calculator_options_pb2
import time:       134 |        134 |               google.protobuf.internal.builder
import time:       237 |        371 |             google.protobuf.any_pb2
import time:       184 |        184 |             mediapipe.framework.mediapipe_options_pb2
import time:       257 |        257 |             mediapipe.framework.packet_factory_pb2
import time:       233 |        233 |             mediapipe.framework.packet_generator_pb2
import time:       214 |        214 |             mediapipe.framework.status_handler_pb2
import time:       240 |        240 |             mediapipe.framework.stream_handler_pb2
import time:       916 |       2665 |           mediapipe.framework.calculator_pb2
import time:       273 |        273 |           mediapipe.framework.formats.classification_pb2
import time:       591 |       3528 |         mediapipe.calculators.core.constant_side_packet_calculator_pb2
import time:       228 |        228 |         mediapipe.calculators.core.gate_calculator_pb2
import time:       246 |        246 |         mediapipe.calculators.core.split_vector_calculator_pb2
import time:       132 |        132 |         mediapipe.calculators.tensor
import time:       122 |        122 |           mediapipe.gpu
import time:       266 |        266 |           mediapipe.gpu.gpu_origin_pb2
import time:       466 |        853 |         mediapipe.calculators.tensor.image_to_tensor_calculator_pb2
import time:       498 |        498 |         mediapipe.calculators.tensor.inference_calculator_pb2
import time:       307 |        307 |         mediapipe.calculators.tensor.tensors_to_classification_calculator_pb2
import time:       350 |        350 |         mediapipe.calculators.tensor.tensors_to_detections_calculator_pb2
import time:       276 |        276 |         mediapipe.calculators.tensor.tensors_to_landmarks_calculator_pb2
import time:       128 |        128 |         mediapipe.calculators.tflite
import time:       316 |        316 |         mediapipe.calculators.tflite.ssd_anchors_calculator_pb2
import time:       131 |        131 |         mediapipe.calculators.util
import time:       304 |        304 |         mediapipe.calculators.util.association_calculator_pb2
import time:       262 |        262 |         mediapipe.calculators.util.detections_to_rects_calculator_pb2
import time:       239 |        239 |         mediapipe.calculators.util.logic_calculator_pb2
import time:       411 |        411 |         mediapipe.calculators.util.non_max_suppression_calculator_pb2
import time:       265 |        265 |         mediapipe.calculators.util.rect_transformation_calculator_pb2
import time:       214 |        214 |         mediapipe.calculators.util.thresholding_calculator_pb2
import time:       123 |        123 |           mediapipe.calculators.image
import time:       238 |        238 |             mediapipe.gpu.scale_mode_pb2
import time:       456 |        693 |           mediapipe.calculators.image.image_transformation_calculator_pb2
import time:       349 |        349 |           mediapipe.calculators.util.landmarks_smoothing_calculator_pb2
import time:       252 |        252 |           mediapipe.framework.formats.rect_pb2
import time:       122 |        122 |               mediapipe.modules
import time:       185 |        307 |             mediapipe.modules.objectron
import time:       165 |        471 |           mediapipe.modules.objectron.calculators
import time:      2717 |       2717 |             mediapipe.modules.objectron.calculators.a_r_capture_metadata_pb2
import time:       497 |        497 |             mediapipe.modules.objectron.calculators.object_pb2
import time:       542 |       3754 |           mediapipe.modules.objectron.calculators.annotation_data_pb2
import time:       243 |        243 |             mediapipe.modules.objectron.calculators.belief_decoder_config_pb2
import time:       296 |        538 |           mediapipe.modules.objectron.calculators.lift_2d_frame_annotation_to_3d_calculator_pb2
import time:      1152 |       7329 |         mediapipe.python.solution_base
import time:      1112 |      17429 |       mediapipe.python.solutions.hands
import time:       318 |        318 |         mediapipe.calculators.image.warp_affine_calculator_pb2
import time:       264 |        264 |         mediapipe.calculators.tensor.tensors_to_segmentation_calculator_pb2
import time:       226 |        226 |         mediapipe.calculators.util.local_file_contents_calculator_pb2
import time:       331 |        331 |         mediapipe.calculators.util.visibility_smoothing_calculator_pb2
import time:       139 |        139 |         mediapipe.framework.tool
import time:       281 |        281 |         mediapipe.framework.tool.switch_container_pb2
import time:       131 |        131 |         mediapipe.python.solutions.download_utils
import time:       109 |        109 |         mediapipe.python.solutions.pose_connections
import time:       876 |       2670 |       mediapipe.python.solutions.pose
import time:       484 |     597974 |     mediapipe.python.solutions.drawing_styles
import time:       337 |        337 |     mediapipe.python.solutions.face_detection
import time:       443 |        443 |       mediapipe.calculators.util.landmarks_refinement_calculator_pb2
import time:       231 |        673 |     mediapipe.python.solutions.face_mesh
import time:       250 |        250 |       mediapipe.calculators.tensor.tensors_to_floats_calculator_pb2
import time:       222 |        222 |       mediapipe.calculators.util.landmark_projection_calculator_pb2
import time:       127 |        127 |         mediapipe.modules.holistic_landmark
import time:       199 |        325 |       mediapipe.modules.holistic_landmark.calculators
import time:       389 |        389 |       mediapipe.modules.holistic_landmark.calculators.roi_tracking_calculator_pb2
import time:       346 |       1532 |     mediapipe.python.solutions.holistic
import time:       200 |        200 |           attr._compat
import time:       118 |        118 |             attr._config
import time:       258 |        258 |               attr.exceptions
import time:       148 |        405 |             attr.setters
import time:      2434 |       2956 |           attr._make
import time:       389 |       3543 |         attr.converters
import time:       191 |        191 |         attr.filters
import time:      3650 |       3650 |         attr.validators
import time:       233 |        233 |         attr._cmp
import time:       178 |        178 |         attr._funcs
import time:       627 |        627 |         attr._version_info
import time:       172 |        172 |         attr._next_gen
import time:       425 |       9016 |       attr
import time:       335 |        335 |       mediapipe.calculators.util.collection_has_min_size_calculator_pb2
import time:       230 |        230 |       mediapipe.calculators.util.detection_label_id_to_text_calculator_pb2
import time:       393 |        393 |       mediapipe.modules.objectron.calculators.frame_annotation_to_rect_calculator_pb2
import time:      3537 |      13509 |     mediapipe.python.solutions.objectron
import time:       225 |        225 |     mediapipe.python.solutions.selfie_segmentation
import time:       326 |     614574 |   mediapipe.python.solutions
import time:       309 |     630917 | mediapipe
import time:      1974 |       1974 |     PIL._imagingft
import time:       514 |       2488 |   PIL.ImageFont
import time:       338 |       2825 | PIL.ImageDraw
import time:       277 |        277 | face01lib.video_capture
import time:       171 |        171 | face01lib.load_priset_image
import time:       129 |        129 | face01lib.similar_percentage_to_tolerance
Traceback (most recent call last):
  File "FACE01.py", line 210, in <module>
    conf_dict = configure()
  File "FACE01.py", line 161, in configure
    kaoninshoDir, priset_face_imagesDir = home()
  File "FACE01.py", line 155, in home
    chdir(kaoninshoDir)
FileNotFoundError: [Errno 2] No such file or directory: ''
